pro_player_id,downloaded
88470,0
639740,0
1296625,0
1400303,0
1470116,0
3916428,0
3940262,0
4281729,0
5150808,0
6103402,0
6199147,0
6922000,0
7910302,0
8591574,0
8712306,0
8817047,0
9403474,0
10366616,0
10511872,0
10516239,0
11550182,0
11865327,0
12231202,0
12335314,0
12391689,0
12692042,0
14067214,0
15272141,0
16317795,0
16446200,0
16497807,0
16769223,0
16795361,0
18180970,0
18565955,0
19195168,0
19672354,0
20321748,0
20356581,0
20603135,0
20652618,0
21270361,0
21289303,0
21487219,0
21604967,0
23589642,0
23883296,0
23900288,0
24009418,0
24935423,0
25175582,0
25502245,0
25907144,0
26316691,0
26356855,0
26771994,0
27178898,0
27407710,0
28070572,0
29517189,0
29904110,0
30237211,0
30326642,0
31456357,0
31818853,0
32095155,0
32128719,0
32995405,0
33122084,0
34127506,0
34322358,0
34505203,0
34726076,0
35504297,0
35533647,0
36343070,0
36373315,0
36605156,0
36707044,0
37399177,0
37658157,0
38057824,0
38424773,0
38628747,0
39155815,0
39270453,0
39749294,0
39795399,0
40144634,0
40146942,0
40209325,0
40547474,0
40551351,0
40586005,0
40697769,0
40805086,0
41231571,0
41470731,0
41637292,0
41843638,0
42274654,0
42989814,0
43138430,0
43276219,0
43401453,0
43619695,0
43642982,0
43772141,0
43976568,0
44203190,0
44447459,0
44496803,0
44544729,0
44603256,0
44604531,0
46398245,0
47434686,0
47501114,0
47508363,0
47837062,0
48234616,0
48594480,0
48681338,0
48739453,0
48823667,0
49317728,0
49769407,0
49849992,0
49896820,0
50050664,0
50237563,0
50580004,0
50707361,0
50828662,0
51684352,0
51747431,0
51768121,0
52309044,0
52406002,0
52743236,0
52781082,0
53178236,0
53242962,0
53722536,0
53740474,0
54151884,0
54580962,0
55043639,0
55649904,0
56029361,0
56132842,0
56351509,0
56623474,0
56939869,0
57274050,0
57516313,0
57569220,0
57578110,0
57942148,0
58216541,0
58376072,0
58429537,0
58430323,0
58513047,0
59273184,0
59381601,0
59463394,0
59752811,0
60028881,0
60943014,0
61130075,0
62159682,0
62533910,0
63084395,0
63703276,0
64050796,0
64163607,0
64202601,0
64444715,0
64914621,0
65269963,0
65674469,0
65812750,0
66228684,0
66416377,0
66598119,0
66620961,0
67119389,0
67428263,0
67893845,0
68007361,0
68254582,0
68272131,0
68709354,0
69594408,0
69602973,0
70388657,0
70558570,0
70663093,0
70673409,0
70917469,0
71266407,0
71824981,0
71869498,0
71948225,0
72156367,0
72312627,0
72393079,0
72980267,0
73073488,0
73401082,0
73562326,0
74378317,0
75241544,0
75285376,0
75390186,0
75391698,0
75438820,0
75750590,0
76173488,0
76510612,0
76600360,0
76904792,0
76906065,0
76996998,0
77212972,0
77405809,0
77490514,0
77804463,0
78649156,0
78651939,0
78851081,0
78937420,0
79002648,0
79192770,0
79247165,0
79377767,0
79589986,0
79652303,0
79809603,0
79818006,0
79922175,0
80649778,0
81306398,0
81475303,0
81481903,0
81781722,0
81852496,0
82070100,0
82133498,0
82262664,0
82305765,0
82327674,0
82507234,0
82546205,0
82630959,0
82973375,0
83003439,0
83155409,0
83515709,0
83543346,0
83601826,0
83633790,0
83867257,0
84021752,0
84065480,0
84271002,0
84304424,0
84385735,0
84390306,0
84429681,0
84620251,0
84677534,0
84772440,0
84853828,0
85008179,0
85312703,0
85367644,0
85375207,0
85485252,0
85612299,0
85663297,0
85664175,0
85696663,0
85784109,0
85805514,0
85937380,0
85956459,0
86040272,0
86047456,0
86131091,0
86189031,0
86192822,0
86300851,0
86317757,0
86356342,0
86576108,0
86698277,0
86700461,0
86715129,0
86723143,0
86725175,0
86726887,0
86727231,0
86727555,0
86732705,0
86738694,0
86741690,0
86743641,0
86744322,0
86745912,0
86747351,0
86750028,0
86750262,0
86751819,0
86759987,0
86761682,0
86762037,0
86765434,0
86772934,0
86780673,0
86785083,0
86785188,0
86793739,0
86799300,0
86802844,0
86811043,0
86818655,0
86822085,0
86827090,0
86845752,0
86850560,0
86861614,0
86870856,0
86874930,0
86887653,0
86891646,0
86896635,0
86919603,0
86940305,0
86953414,0
86953944,0
86974263,0
86975889,0
87012746,0
87037872,0
87039091,0
87063175,0
87113040,0
87177591,0
87196890,0
87197791,0
87243233,0
87276347,0
87278757,0
87285329,0
87293485,0
87307430,0
87352234,0
87357803,0
87360406,0
87382579,0
87383462,0
